[adb-backup-enabled] [file] [low] /app/decompiled_native_leak/AndroidManifest.xml
[android-custom-permissions] [file] [medium] /app/decompiled_native_leak/AndroidManifest.xml
[android-custom-permissions] [file] [medium] /app/decompiled_native_leak/original/AndroidManifest.xml
[android-custom-permissions] [file] [medium] /app/decompiled_native_leak/res/layout/activity_main.xml
[android-custom-permissions] [file] [medium] /app/decompiled_native_leak/res/values/attrs.xml
[android-custom-permissions] [file] [medium] /app/decompiled_native_leak/res/values/colors.xml
[android-custom-permissions] [file] [medium] /app/decompiled_native_leak/res/values/ids.xml
[android-custom-permissions] [file] [medium] /app/decompiled_native_leak/res/values/public.xml
[android-custom-permissions] [file] [medium] /app/decompiled_native_leak/res/values/strings.xml
[android-custom-permissions] [file] [medium] /app/decompiled_native_leak/res/values/styles.xml
[android-dynamic-code-loading] [file] [critical] /app/decompiled_native_leak/smali/org/arguslab/native_leak/MainActivity.smali
[android-hardcoded-crypto-keys-strict] [file] [high] /app/decompiled_native_leak/smali/android/support/constraint/BuildConfig.smali
[android-hardcoded-crypto-keys-strict] [file] [high] /app/decompiled_native_leak/smali/android/support/constraint/ConstraintLayout$LayoutParams.smali
[android-hardcoded-crypto-keys-strict] [file] [high] /app/decompiled_native_leak/smali/android/support/constraint/ConstraintLayout.smali
[android-hardcoded-crypto-keys-strict] [file] [high] /app/decompiled_native_leak/smali/android/support/constraint/ConstraintSet$1.smali
[android-hardcoded-crypto-keys-strict] [file] [high] /app/decompiled_native_leak/smali/android/support/constraint/ConstraintSet$Constraint.smali
[android-hardcoded-crypto-keys-strict] [file] [high] /app/decompiled_native_leak/smali/android/support/constraint/ConstraintSet.smali
[android-hardcoded-crypto-keys-strict] [file] [high] /app/decompiled_native_leak/smali/android/support/constraint/Guideline.smali
[android-hardcoded-crypto-keys-strict] [file] [high] /app/decompiled_native_leak/smali/android/support/constraint/R$attr.smali
[android-hardcoded-crypto-keys-strict] [file] [high] /app/decompiled_native_leak/smali/android/support/constraint/R$id.smali
[android-hardcoded-crypto-keys-strict] [file] [high] /app/decompiled_native_leak/smali/android/support/constraint/R$styleable.smali
[android-hardcoded-crypto-keys-strict] [file] [high] /app/decompiled_native_leak/smali/android/support/constraint/R.smali
[android-hardcoded-crypto-keys-strict] [file] [high] /app/decompiled_native_leak/smali/android/support/constraint/solver/Amount.smali
